STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W01,,47.2,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W02,,27.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W03,,70.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W04,,174.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W05,,106,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W06,,76.4,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W07,,205.2,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W08,,174.2,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W09,,231,,A,Normal value,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY(1.0),Mortality by week,I,AUS,Australia,W,Weekly,EM,Excess mortality,_T,Total,_T,Total,DT,Deaths,2020-W10,,98.4,,A,Normal value,0,Units
